session_key,driver_number,compound,stint_length,bias_applied,mae,rmse,total_delta,confidence
9877,4,SOFT,33,0.833000000000001,0.8077575757575759,4.640213997155082,26.65599999999995,46.68799999999999
9877,4,MEDIUM,37,0.24202702702702505,0.23548648648648632,1.432408376391577,8.713000000000193,82.57400000000001
9877,5,MEDIUM,35,3.1779166666666723,0.5921714285714286,3.503333416700647,20.726000000000113,58.548
9877,5,SOFT,34,0.875058823529397,0.8493235294117646,4.9523646431602275,28.876999999999953,42.24600000000001
9877,6,MEDIUM,33,0.6903939393939502,0.6694545454545454,3.8457235753732766,22.0920000000001,55.816
9877,6,SOFT,36,0.3283888888888795,0.31927777777777777,1.9156666666666666,11.494000000000142,77.012
9877,10,MEDIUM,32,0.694625000000002,0.6729375000000002,3.8067093565177794,21.534000000000106,56.93199999999999
9877,10,SOFT,37,0.7109189189189212,0.6917027027027024,4.207463282106008,25.592999999999847,48.81400000000002
9877,12,SOFT,21,1.1769047619047688,1.1208571428571428,5.1364127003747875,23.53800000000001,52.92400000000001
9877,12,MEDIUM,24,4.517240000000002,0.7991666666666669,3.9151011055484477,19.179999999999836,61.639999999999986
9877,12,SOFT,24,0.9457500000000039,0.9063333333333331,4.440108407084973,21.751999999999953,56.49600000000001
9877,14,SOFT,19,1.367947368421052,1.295947368421053,5.648903615094843,24.623000000000047,50.75399999999999
9877,14,MEDIUM,14,1.379071428571446,1.2805714285714294,4.791459545005948,17.927999999999884,64.14399999999998
9877,16,SOFT,30,0.8063333333333351,0.7794666666666666,4.269314761566935,23.384000000000015,53.232
9877,16,MEDIUM,40,0.434050000000002,0.4231999999999999,2.6765518115665157,16.927999999999884,66.144
9877,18,SOFT,25,0.9505599999999867,0.9125200000000001,4.562600000000001,22.813000000000102,54.373999999999995
9877,18,MEDIUM,17,1.3990000000000076,1.3167058823529412,5.428917430813277,22.384000000000015,55.232
9877,18,SOFT,27,0.3285555555555422,0.31640740740740764,1.6441011165623256,8.542999999999665,82.91399999999999
9877,22,MEDIUM,35,0.9542285714285754,0.9269428571428571,5.483867897231453,32.442999999999756,35.114000000000004
9877,22,SOFT,35,1.1696285714285686,1.1361999999999999,6.721849849557783,39.76700000000028,20.466000000000008
9877,23,HARD,40,0.5736749999999915,0.5593250000000001,3.5374819045473584,22.373000000000502,55.25399999999999
9877,23,SOFT,29,0.2296896551724158,0.22175862068965507,1.1942067198166202,6.43100000000004,87.138
9877,27,SOFT,24,0.9282500000000008,0.8895833333333331,4.3580505007017365,21.350000000000136,57.30000000000001
9877,31,SOFT,26,0.9064615384615465,0.8715769230769226,4.444187738366385,22.661000000000058,54.678000000000026
9877,31,MEDIUM,44,0.7541363636363588,0.7369772727272729,4.8885541853115715,32.427000000000135,35.14599999999999
9877,43,HARD,47,0.5066595744680873,0.4958723404255322,3.399529491849932,23.30600000000004,53.38799999999998
9877,43,SOFT,22,1.0406363636363742,0.9933636363636363,4.659288455235511,21.854000000000042,56.292
9877,44,SOFT,22,1.2309090909090978,1.1749545454545456,5.511025317076175,25.84900000000016,48.30199999999999
9877,44,MEDIUM,24,1.1617916666666683,1.1133750000000002,5.454401284742443,26.72100000000023,46.55799999999999
9877,44,SOFT,24,1.1833750000000027,1.1340416666666673,5.5556468607774825,27.2170000000001,45.565999999999974
9877,55,MEDIUM,16,1.5313750000000113,1.4356875000000002,5.742750000000001,22.971000000000004,54.05799999999999
9877,55,SOFT,50,0.5937199999999939,0.58184,4.114230095655808,29.091999999999643,41.815999999999995
9877,63,SOFT,24,0.6107500000000053,0.5852916666666665,2.867331868072941,14.047000000000025,71.906
9877,63,MEDIUM,22,4.489173913043497,0.4309545454545452,2.021355991767541,9.480999999999995,81.03800000000001
9877,63,SOFT,23,0.5101304347826262,0.4879565217391304,2.34015726896255,11.223000000000184,77.554
9877,81,SOFT,23,1.0165217391304198,0.972304347826087,4.663007841558363,22.363000000000056,55.274
9877,81,MEDIUM,23,0.9643043478261006,0.9223913043478262,4.423633294220842,21.215000000000146,57.56999999999999
9877,81,SOFT,24,0.7766249999999957,0.7442499999999997,3.6460654821327596,17.86200000000008,64.27600000000001
9877,87,SOFT,23,1.0754347826087012,1.0286956521739128,4.933451036590388,23.660000000000082,52.680000000000014
9877,87,MEDIUM,24,1.0151666666666774,0.9728333333333333,4.765890542875137,23.347999999999956,53.304
9877,87,SOFT,23,0.8478695652174002,0.8109999999999996,3.8894193654066136,18.65300000000002,62.69400000000002
